matrix_index,biokorf_side_id,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,optimuskg_node_count,identity_source,mapping_confidence,kg_mapping_status,has_kg_node,requires_review
0,BIOKORF_SIDE_000,abdominal discomfort,C0232487,10000059,Abdominal discomfort,,[],0,sider_umls_pt,high,external_meddra_only,False,True
1,BIOKORF_SIDE_001,abdominal distension,C0000731,10000060,Abdominal distension,meddra:10000060,"[""HP_0003270""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
2,BIOKORF_SIDE_002,abdominal pain,C0000737,10000081,Abdominal pain,meddra:10000081,"[""HP_0002027""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
3,BIOKORF_SIDE_003,abdominal pain lower,C0232495,10000084,Abdominal pain lower,,[],0,sider_umls_pt,high,external_meddra_only,False,True
4,BIOKORF_SIDE_004,abdominal pain upper,C0232492,10000087,Abdominal pain upper,,[],0,sider_umls_pt,high,external_meddra_only,False,True
5,BIOKORF_SIDE_005,abnormal behaviour,C0233514,10061422,Abnormal behaviour,,"[""HP_0000708""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
6,BIOKORF_SIDE_006,abnormal dreams,C0234458,10000125,Abnormal dreams,meddra:10000125,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
7,BIOKORF_SIDE_007,abnormal faeces,C0162287,10000133,Abnormal faeces,,[],0,sider_umls_pt,high,external_meddra_only,False,True
8,BIOKORF_SIDE_008,abscess,C0000833,10000269,Abscess,,[],0,sider_umls_pt,high,external_meddra_only,False,True
9,BIOKORF_SIDE_009,accommodation disorder,C0152198,10000389,Accommodation disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
10,BIOKORF_SIDE_010,acidosis,C0001122,10000486,Acidosis,,"[""HP_0001941""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
11,BIOKORF_SIDE_011,acne,C0702166,10000496,Acne,meddra:10000496,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
12,BIOKORF_SIDE_012,actinic keratosis,C0022602,10000614,Actinic keratosis,,[],0,sider_umls_pt,high,external_meddra_only,False,True
13,BIOKORF_SIDE_013,acute coronary syndrome,C0948089,10051592,Acute coronary syndrome,,[],0,sider_umls_pt,high,external_meddra_only,False,True
14,BIOKORF_SIDE_014,acute myocardial infarction,C0155626,10000891,Acute myocardial infarction,,[],0,sider_umls_pt,high,external_meddra_only,False,True
15,BIOKORF_SIDE_015,acute respiratory distress syndrome,C0035222,10001052,Acute respiratory distress syndrome,meddra:10001052,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
16,BIOKORF_SIDE_016,adrenal insufficiency,C0001623,10001367,Adrenal insufficiency,,[],0,sider_umls_pt,high,external_meddra_only,False,True
