matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
0,lepirudin,CIDm16132441,"","","","",2,ambiguous
1,bivalirudin,CIDm16129704,"","","","",2,ambiguous
7,insulin.lispro,CIDm16132438,"","","","",2,ambiguous
8,insulin.glargine,CIDm44146714,"","","","",2,ambiguous
9,rasburicase,CIDm00474409,"","","","",2,ambiguous
11,eptifibatide,CIDm00448812,"","","","",2,ambiguous
13,daptomycin,CIDm16129688,"","","","",3,ambiguous
17,interferon.alfa-2b,CIDm71306834,"","","","",2,ambiguous
19,oxytocin,CIDm00005771,"","","","",2,ambiguous
20,enfuvirtide,CIDm16130199,"","","","",2,ambiguous
30,cevimeline,CIDm00083898,"","","","",3,ambiguous
33,bortezomib,CIDm00387447,"","","","",2,ambiguous
67,anagrelide,CIDm00002182,"","","","",2,ambiguous
83,bleomycin,CIDm05360373,"","","","",2,ambiguous
89,bupivacaine,CIDm00002474,"","","","",2,ambiguous
91,tenofovir.disoproxil,CIDm05481350,"","","","",2,ambiguous
107,metformin,CIDm00004091,"","","","",2,ambiguous
116,nitisinone,CIDm00115355,"","","","",2,ambiguous
128,treprostinil,CIDm06918140,"","","","",2,ambiguous
132,amlodipine,CIDm00002162,"","","","",2,ambiguous
152,allopurinol,CIDm00002094,"","","","",2,ambiguous
172,lenalidomide,CIDm00216326,"","","","",2,ambiguous
181,entacapone,CIDm05281081,"","","","",2,ambiguous
188,ritonavir,CIDm00392622,"","","","",2,ambiguous
194,caspofungin,CIDm02826718,"","","","",2,ambiguous
197,oxaliplatin,CIDm00004609,"","","","",2,ambiguous
200,erlotinib,CIDm00176870,"","","","",2,ambiguous
204,gadoversetamide,CIDm00444013,"","","","",0,unmatched
216,bosentan,CIDm00104865,"","","","",2,ambiguous
218,methotrexate,CIDm00126941,"","","","",2,ambiguous
222,propranolol,CIDm00004946,"","","","",2,ambiguous
233,gadoteridol,CIDm00060714,"","","","",2,ambiguous
236,ivermectin,CIDm06435110,"","","","",2,ambiguous
238,butorphanol,CIDm05361092,"","","","",2,ambiguous
243,testosterone,CIDm00006013,"","","","",2,ambiguous
257,sevelamer,CIDm03085017,"","","","",2,ambiguous
261,nafarelin,CIDm25077649,"","","","",2,ambiguous
284,porfimer.sodium,CIDm03086257,"","","","",2,ambiguous
286,lamivudine,CIDm00060825,"","","","",2,ambiguous
295,risperidone,CIDm00005073,"","","","",2,ambiguous
296,naftifine,CIDm00047641,"","","","",2,ambiguous
299,riluzole,CIDm00005070,"","","","",2,ambiguous
315,estradiol,CIDm00005757,"","","","",2,ambiguous
326,fentanyl,CIDm00003345,"","","","",2,ambiguous
341,vardenafil,CIDm00110634,"","","","",2,ambiguous
347,emtricitabine,CIDm00060877,"","","","",2,ambiguous
361,zonisamide,CIDm00005734,"","","","",2,ambiguous
368,buprenorphine,CIDm06321408,"","","","",2,ambiguous
372,azacitidine,CIDm00009444,"","","","",2,ambiguous
384,carboplatin,CIDm00038904,"","","","",2,ambiguous
